Ticker,Sector,Industry,Stock_Type,Year,Price,Funda_Score,Funda_Label,GPM (%) | Raw,GPM (%) | Skor(1-5),GPM (%) | Bobot,GPM (%) | Kontribusi,OPM (%) | Raw,OPM (%) | Skor(1-5),OPM (%) | Bobot,OPM (%) | Kontribusi,NPM (%) | Raw,NPM (%) | Skor(1-5),NPM (%) | Bobot,NPM (%) | Kontribusi,ROE (%) | Raw,ROE (%) | Skor(1-5),ROE (%) | Bobot,ROE (%) | Kontribusi,ROA (%) | Raw,ROA (%) | Skor(1-5),ROA (%) | Bobot,ROA (%) | Kontribusi,FCF/Net Income | Raw,FCF/Net Income | Skor(1-5),FCF/Net Income | Bobot,FCF/Net Income | Kontribusi,DER (x) | Raw,DER (x) | Skor(1-5),DER (x) | Bobot,DER (x) | Kontribusi,DAR (x) | Raw,DAR (x) | Skor(1-5),DAR (x) | Bobot,DAR (x) | Kontribusi,Interest Cov. (x) | Raw,Interest Cov. (x) | Skor(1-5),Interest Cov. (x) | Bobot,Interest Cov. (x) | Kontribusi,Net Debt/EBITDA (x) | Raw,Net Debt/EBITDA (x) | Skor(1-5),Net Debt/EBITDA (x) | Bobot,Net Debt/EBITDA (x) | Kontribusi,PER (x) | Raw,PER (x) | Skor(1-5),PER (x) | Bobot,PER (x) | Kontribusi,PBV (x) | Raw,PBV (x) | Skor(1-5),PBV (x) | Bobot,PBV (x) | Kontribusi,EV/EBITDA (x) | Raw,EV/EBITDA (x) | Skor(1-5),EV/EBITDA (x) | Bobot,EV/EBITDA (x) | Kontribusi,Div. Yield (%) | Raw,Div. Yield (%) | Skor(1-5),Div. Yield (%) | Bobot,Div. Yield (%) | Kontribusi,Revenue CAGR 3Y (%) | Raw,Revenue CAGR 3Y (%) | Skor(1-5),Revenue CAGR 3Y (%) | Bobot,Revenue CAGR 3Y (%) | Kontribusi,EPS CAGR 3Y (%) | Raw,EPS CAGR 3Y (%) | Skor(1-5),EPS CAGR 3Y (%) | Bobot,EPS CAGR 3Y (%) | Kontribusi,Current Ratio (x) | Raw,Current Ratio (x) | Skor(1-5),Current Ratio (x) | Bobot,Current Ratio (x) | Kontribusi,Inventory TO (x) | Raw,Inventory TO (x) | Skor(1-5),Inventory TO (x) | Bobot,Inventory TO (x) | Kontribusi,Asset Turnover (x) | Raw,Asset Turnover (x) | Skor(1-5),Asset Turnover (x) | Bobot,Asset Turnover (x) | Kontribusi,Receivables TO (x) | Raw,Receivables TO (x) | Skor(1-5),Receivables TO (x) | Bobot,Receivables TO (x) | Kontribusi,Cash Conv. Cycle (hari) | Raw,Cash Conv. Cycle (hari) | Skor(1-5),Cash Conv. Cycle (hari) | Bobot,Cash Conv. Cycle (hari) | Kontribusi,NPM Bank (%) | Raw,NPM Bank (%) | Skor(1-5),NPM Bank (%) | Bobot,NPM Bank (%) | Kontribusi,ROE Bank (%) | Raw,ROE Bank (%) | Skor(1-5),ROE Bank (%) | Bobot,ROE Bank (%) | Kontribusi,ROA Bank (%) | Raw,ROA Bank (%) | Skor(1-5),ROA Bank (%) | Bobot,ROA Bank (%) | Kontribusi,FCF/Net Income Bank | Raw,FCF/Net Income Bank | Skor(1-5),FCF/Net Income Bank | Bobot,FCF/Net Income Bank | Kontribusi,Risk Factor | Raw,Risk Factor | Skor(1-5),Risk Factor | Bobot,Risk Factor | Kontribusi,Asset Turnover Bank (x) | Raw,Asset Turnover Bank (x) | Skor(1-5),Asset Turnover Bank (x) | Bobot,Asset Turnover Bank (x) | Kontribusi,PER Bank (x) | Raw,PER Bank (x) | Skor(1-5),PER Bank (x) | Bobot,PER Bank (x) | Kontribusi,PBV Bank (x) | Raw,PBV Bank (x) | Skor(1-5),PBV Bank (x) | Bobot,PBV Bank (x) | Kontribusi,Div. Yield Bank (%) | Raw,Div. Yield Bank (%) | Skor(1-5),Div. Yield Bank (%) | Bobot,Div. Yield Bank (%) | Kontribusi,Revenue CAGR 3Y Bank (%) | Raw,Revenue CAGR 3Y Bank (%) | Skor(1-5),Revenue CAGR 3Y Bank (%) | Bobot,Revenue CAGR 3Y Bank (%) | Kontribusi,EPS CAGR 3Y Bank (%) | Raw,EPS CAGR 3Y Bank (%) | Skor(1-5),EPS CAGR 3Y Bank (%) | Bobot,EPS CAGR 3Y Bank (%) | Kontribusi,GPM Karya (%) | Raw,GPM Karya (%) | Skor(1-5),GPM Karya (%) | Bobot,GPM Karya (%) | Kontribusi,OPM Karya (%) | Raw,OPM Karya (%) | Skor(1-5),OPM Karya (%) | Bobot,OPM Karya (%) | Kontribusi,DER Karya (x) | Raw,DER Karya (x) | Skor(1-5),DER Karya (x) | Bobot,DER Karya (x) | Kontribusi,Interest Cov. Karya (x) | Raw,Interest Cov. Karya (x) | Skor(1-5),Interest Cov. Karya (x) | Bobot,Interest Cov. Karya (x) | Kontribusi,Net Debt/EBITDA Karya (x) | Raw,Net Debt/EBITDA Karya (x) | Skor(1-5),Net Debt/EBITDA Karya (x) | Bobot,Net Debt/EBITDA Karya (x) | Kontribusi,Current Ratio Karya (x) | Raw,Current Ratio Karya (x) | Skor(1-5),Current Ratio Karya (x) | Bobot,Current Ratio Karya (x) | Kontribusi,Receivables TO Karya (x) | Raw,Receivables TO Karya (x) | Skor(1-5),Receivables TO Karya (x) | Bobot,Receivables TO Karya (x) | Kontribusi
AADI.JK,Energy,Thermal Coal,umum,2024,7953.83,7.46,✅ BAGUS,27.5576,3,0.03,0.09,21.6266,4,0.08,0.32,22.7611,5,0.08,0.4,40.3749,5,0.12,0.6,20.2047,5,0.04,0.2,,,0.05,0,0.8767,4,0.06,0.24,0.4387,3,0.02,0.06,15.7137,5,0.06,0.3,-1,5,0.06,0.3,51152.7286,1,0.06,0.06,20652.8418,1,0.06,0.06,53836.108,1,0.05,0.05,0.0048,2,0.06,0.12,,,0.03,0,,,0.03,0,2.537,5,0.03,0.15,56.2172,5,0.03,0.15,0.8877,4,0.03,0.12,13.249,5,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM.JK,Energy,Thermal Coal,umum,TTM,3100,4.29,⚠️ KURANG,7.4281,1,0.03,0.03,1.5434,1,0.08,0.08,7.7944,3,0.08,0.24,9.5348,3,0.12,0.36,4.0581,3,0.04,0.12,,,0.05,0,1.3431,3,0.06,0.18,0.5716,3,0.02,0.06,0.1834,1,0.06,0.06,,,0.06,0,102333.5748,1,0.06,0.06,9757.349,1,0.06,0.06,,,0.05,0,0,2,0.06,0.12,-10.5093,1,0.03,0.03,-33.9166,1,0.03,0.03,1.1579,3,0.03,0.09,24.5474,5,0.03,0.15,0.5206,3,0.03,0.09,4.7017,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM.JK,Energy,Thermal Coal,umum,2025,2780,4.02,⚠️ KURANG,9.9867,1,0.03,0.03,4.1086,1,0.08,0.08,6.802,3,0.08,0.24,8.0731,3,0.12,0.36,3.436,3,0.04,0.12,,,0.05,0,1.3431,3,0.06,0.18,0.5716,3,0.02,0.06,0.5572,1,0.06,0.06,18.0421,1,0.06,0.06,108385.6965,1,0.06,0.06,8750.1388,1,0.06,0.06,179454.6961,1,0.05,0.05,0.0003,2,0.06,0.12,-10.4469,1,0.03,0.03,-36.0419,1,0.03,0.03,1.1579,3,0.03,0.09,23.1584,5,0.03,0.15,0.5051,3,0.03,0.09,4.5618,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM.JK,Energy,Thermal Coal,umum,2024,3375.87,4.94,⚠️ KURANG,10.9314,2,0.03,0.06,6.1398,2,0.08,0.16,11.6128,4,0.08,0.32,16.5638,4,0.12,0.48,6.651,4,0.04,0.16,,,0.05,0,1.4835,3,0.06,0.18,0.5957,3,0.02,0.06,0.6711,1,0.06,0.06,10.9384,1,0.06,0.06,66688.9097,1,0.06,0.06,11046.2241,1,0.06,0.06,126144.8036,1,0.05,0.05,0.0005,2,0.06,0.12,,,0.03,0,,,0.03,0,1.067,3,0.03,0.09,17.6294,5,0.03,0.15,0.5727,3,0.03,0.09,4.3519,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM.JK,Energy,Thermal Coal,umum,2023,2989.99,6.07,🟡 CUKUP,26.259,3,0.03,0.09,17.2722,4,0.08,0.32,19.3571,5,0.08,0.4,38.0754,5,0.12,0.6,13.4002,5,0.04,0.2,,,0.05,0,1.8415,2,0.06,0.12,0.6481,2,0.02,0.04,2.4303,3,0.06,0.18,3.3024,2,0.06,0.12,28484.1497,1,0.06,0.06,10845.4638,1,0.06,0.06,31925.6866,1,0.05,0.05,0.0012,2,0.06,0.12,,,0.03,0,,,0.03,0,0.9858,2,0.03,0.06,20.6643,5,0.03,0.15,0.6923,3,0.03,0.09,4.7617,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM.JK,Energy,Thermal Coal,umum,2022,2541.07,6.65,✅ BAGUS,36.1048,4,0.03,0.12,27.3763,5,0.08,0.4,18.6721,5,0.08,0.4,49.0422,5,0.12,0.6,13.6141,5,0.04,0.2,,,0.05,0,2.4803,1,0.06,0.06,0.6885,2,0.02,0.04,7.5404,4,0.06,0.24,1.8123,4,0.06,0.24,25919.7256,1,0.06,0.06,12711.6,1,0.06,0.06,17680.4368,1,0.05,0.05,0.001,2,0.06,0.12,,,0.03,0,,,0.03,0,1.1454,3,0.03,0.09,16.5991,5,0.03,0.15,0.7291,3,0.03,0.09,5.6549,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM.JK,Energy,Thermal Coal,umum,2021,1010.55,3.39,❌ BURUK,0,1,0.03,0.03,0,1,0.08,0.08,0,2,0.08,0.16,0,1,0.12,0.12,0,1,0.04,0.04,,,0.05,0,0,5,0.06,0.3,0,5,0.02,0.1,0,1,0.06,0.06,,,0.06,0,,,0.06,0,,,0.06,0,,,0.05,0,0,2,0.06,0.12,,,0.03,0,,,0.03,0,0,1,0.03,0.03,0,1,0.03,0.03,0,1,0.03,0.03,0,1,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMR.JK,Basic Materials,Thermal Coal,umum,TTM,1940,6.81,✅ BAGUS,42.5431,4,0.03,0.12,35.2731,5,0.08,0.4,29.4987,5,0.08,0.4,19.9287,4,0.12,0.48,10.763,5,0.04,0.2,,,0.05,0,0.7517,4,0.06,0.24,0.406,3,0.02,0.06,2035.672,5,0.06,0.3,,,0.06,0,254866.6506,1,0.06,0.06,50791.5543,1,0.06,0.06,,,0.05,0,0,2,0.06,0.12,-96.1954,1,0.03,0.03,-10.9731,1,0.03,0.03,1.5942,4,0.03,0.12,6.7905,4,0.03,0.12,0.3649,2,0.03,0.06,6.7888,3,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMR.JK,Basic Materials,Thermal Coal,umum,2025,1560,6.86,✅ BAGUS,40.6256,4,0.03,0.12,32.5196,5,0.08,0.4,27.8753,5,0.08,0.4,17.3685,4,0.12,0.48,9.3804,4,0.04,0.16,,,0.05,0,0.7517,4,0.06,0.24,0.406,3,0.02,0.06,2378.9398,5,0.06,0.3,1.0918,4,0.06,0.24,235153.4487,1,0.06,0.06,40842.6931,1,0.06,0.06,201570.7464,1,0.05,0.05,0.0002,2,0.06,0.12,232.4261,5,0.03,0.15,-6.5387,2,0.03,0.06,1.5942,4,0.03,0.12,6.4718,4,0.03,0.12,0.3365,2,0.03,0.06,6.2612,3,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMR.JK,Basic Materials,Thermal Coal,umum,2024,1143.74,7.89,✅ BAGUS,50.0605,5,0.03,0.15,46.6644,5,0.08,0.4,37.8325,5,0.08,0.4,30.9397,5,0.12,0.6,21.0579,5,0.04,0.2,,,0.05,0,0.4048,5,0.06,0.3,0.2755,4,0.02,0.08,48.5613,5,0.06,0.3,-1,5,0.06,0.3,107083.854,1,0.06,0.06,33131.4039,1,0.06,0.06,86816.0046,1,0.05,0.05,0,2,0.06,0.12,,,0.03,0,,,0.03,0,3.582,5,0.03,0.15,8.1872,5,0.03,0.15,0.5566,3,0.03,0.09,12.1687,5,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
